Feature,Mean_Abs_SHAP,Rank
StormAccum_mm,0.02292082139107947,1
StormDur_H,0.017299269865129484,2
Peak_I30_mm/h,0.008306006151998311,3
Peak_I15_mm/h,0.007531257013435239,4
Peak_I60_mm/h,0.004416200718752211,5
Acc015_mm,0.0010790330032319905,6
StormAvgI_mm/h,0.00033114721703467604,7
Acc060_mm,0.00030885816351507525,8
Fire_SegID,0.00028184704938367087,9
Acc030_mm,0.0002784746563516352,10
Fire Name,0.0002701854559428403,11
Latitude,0.00023242746767647884,12
Longitude,0.00023049747984618004,13
GaugeDist_m,0.00021899881960868724,14
ContributingArea_km2,0.00019708998076501305,15
ID,0.00019507162267152662,16
dNBR/1000,0.00019173868468414095,17
UTM_X,0.00018835815276566268,18
KF,0.00017503793227813713,19
UTM_Zone,0.0001653644348100296,20
State,0.00015856862302116492,21
Fire_ID,0.0001558335577323325,22
PropHM23,0.00015392762994237966,23
Year,0.00014758126058712667,24
UTM_Y,0.00012173941487590239,25
KF_Acc015,0.0001151822482012364,26
Missing_Data,2.710800970702493e-05,27
