Feature,Mean_Abs_SHAP,Rank
StormAccum_mm_N0,0.1371954755670134,1
StormDur_H_N0,0.1034472484077166,2
Peak_I30_mm/h_N0,0.04953785289910943,3
Peak_I15_mm/h_N0,0.04463078060804773,4
Peak_I60_mm/h_N0,0.02563211668054712,5
Acc015_mm_N0,0.005708292336007358,6
Acc060_mm_N0,0.001212051276723649,7
StormAvgI_mm/h_N0,0.001000795984627452,8
Fire Name_N3,0.0007112474909254081,9
Latitude_N0,0.0006637967527355383,10
Acc030_mm_N0,0.0006062428734357109,11
Fire_SegID_N1,0.0005524719656774069,12
GaugeDist_m_N0,0.0005457539858159817,13
Fire Name_N1,0.0005384086180350071,14
Fire_SegID_N2,0.0005315860722412823,15
GaugeDist_m_N2,0.00052759600736612,16
UTM_X_N3,0.0005167032298856986,17
Acc030_mm_N3,0.0005120260028358449,18
StormAvgI_mm/h_N2,0.00048518564974678866,19
Peak_I60_mm/h_N3,0.0004663599371523049,20
KF_N3,0.00045646449655750975,21
Peak_I60_mm/h_N1,0.000450297357936062,22
Longitude_N3,0.0004483637676580319,23
dNBR/1000_N2,0.00043545147328679387,24
Fire_ID_N3,0.00041509562211194435,25
Acc015_mm_N1,0.0004146318627043701,26
Acc030_mm_N2,0.0003990875894406492,27
Longitude_N2,0.00039874239071577717,28
ContributingArea_km2_N1,0.0003935247169553264,29
ContributingArea_km2_N2,0.0003871002920883576,30
State_N0,0.0003808736294786291,31
ID_N3,0.0003752883288245177,32
Longitude_N0,0.00037506880978293737,33
StormAvgI_mm/h_N1,0.00037380432864596606,34
PropHM23_N1,0.0003710782607749248,35
ID_N1,0.00037031814307607704,36
UTM_Zone_N3,0.0003686733203334984,37
dNBR/1000_N1,0.0003626474019835253,38
UTM_Y_N0,0.0003600594127773194,39
Year_N1,0.0003598346615705594,40
Acc060_mm_N3,0.00034858321300031033,41
UTM_X_N2,0.00034855483188107146,42
Fire_SegID_N3,0.0003369305093175518,43
Latitude_N1,0.00033542525375599444,44
Peak_I15_mm/h_N1,0.000328086072069724,45
PropHM23_N0,0.0003049219012207798,46
Peak_I60_mm/h_N2,0.00029753701334376095,47
State_N2,0.0002965038893208756,48
StormAccum_mm_N2,0.00027754058141361387,49
Fire_SegID_N0,0.0002700937490657843,50
Acc015_mm_N2,0.0002681796390991019,51
Year_N2,0.00026184865214228187,52
StormDur_H_N1,0.00026102216069968465,53
KF_N0,0.0002604376704697739,54
Latitude_N3,0.00025844834202027976,55
Peak_I15_mm/h_N3,0.000254172165261152,56
dNBR/1000_N3,0.00024470123745633503,57
State_N1,0.00024342001392683288,58
Year_N0,0.0002410249431257315,59
StormAccum_mm_N1,0.0002373730828620739,60
ID_N0,0.00023399473704228724,61
UTM_Zone_N2,0.000233560241581561,62
Peak_I15_mm/h_N2,0.0002335470342528757,63
KF_N2,0.00022717820128146187,64
Peak_I30_mm/h_N2,0.000226791217486139,65
Fire_ID_N0,0.0002238022872708625,66
Acc060_mm_N2,0.00021897251743919712,67
GaugeDist_m_N1,0.00021206335147209505,68
Fire Name_N0,0.00021001100250295882,69
UTM_Zone_N0,0.0002077969000505147,70
Peak_I30_mm/h_N1,0.00020681189337737498,71
