Feature,Mean_Abs_SHAP,Rank
Peak_I15_mm/h,0.019282762082683758,1
Peak_I60_mm/h,0.009055353337867108,2
Peak_I30_mm/h,0.008413763728478721,3
PropHM23,0.005522493298456605,4
Acc015_mm,0.004573549286873468,5
StormAccum_mm,0.004557860077494632,6
GaugeDist_m,0.0027840184275510892,7
Acc060_mm,0.002427907080198006,8
ContributingArea_km2,0.0016325037866591662,9
StormAvgI_mm/h,0.0011929415811770074,10
Longitude,0.0011156546794663436,11
dNBR/1000,0.0011036609071520243,12
StormDur_H,0.0010220630246342375,13
UTM_Zone,0.0009250224520982095,14
KF,0.0008535388830664855,15
Latitude,0.0007837986436120002,16
Fire Name,0.0007832047823164358,17
Acc030_mm,0.0007706612442438516,18
KF_Acc015,0.000734553184602385,19
ID,0.0006997922071708061,20
Fire_ID,0.0006203977393062616,21
UTM_Y,0.0006124686158511075,22
State,0.0005915016301285879,23
UTM_X,0.0005839099239177782,24
Fire_SegID,0.0005433149030139662,25
Missing_Data,0.0005156654658161146,26
Year,0.0004334364439044843,27
